Service,CostCentre,Spend Type,Amount
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Support Service Recharges Expenditure,318060
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Depreciation Charges and Revenue contribution to Capital,118760
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,"Grants, Contributions, Other Income ",-1238049
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Employee Costs,58540
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Employee Costs,669908
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Premise Related,227360
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Transport Related,50
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Supplies and Services,57780
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Support Service Recharges Expenditure,286620
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,Depreciation Charges and Revenue contribution to Capital,105440
Sport & Leisure Management DSO,Sowerby Bridge Pool - Station Road,"Grants, Contributions, Other Income ",-985996
Sport & Leisure Management DSO,Swimming Development,Employee Costs,27010
Sport & Leisure Management DSO,Swimming Development,Employee Costs,186640
Sport & Leisure Management DSO,Swimming Development,Premise Related,132000
Sport & Leisure Management DSO,Swimming Development,Transport Related,118790
Sport & Leisure Management DSO,Swimming Development,Supplies and Services,5700
Sport & Leisure Management DSO,Swimming Development,Support Service Recharges Expenditure,55000
Sport & Leisure Management DSO,Swimming Development,"Grants, Contributions, Other Income ",-484700
Sport & Leisure Management DSO,Halifax Pool,Employee Costs,80080
Sport & Leisure Management DSO,Halifax Pool,Employee Costs,247470
Sport & Leisure Management DSO,Halifax Pool,Premise Related,227920
Sport & Leisure Management DSO,Halifax Pool,Premise Related,300
Sport & Leisure Management DSO,Halifax Pool,Supplies and Services,57120
Sport & Leisure Management DSO,Halifax Pool,Support Service Recharges Expenditure,348750
Sport & Leisure Management DSO,Halifax Pool,Depreciation Charges and Revenue contribution to Capital,663800
Sport & Leisure Management DSO,Halifax Pool,"Grants, Contributions, Other Income ",-864214
Sport & Leisure Management DSO,Todmorden Sports Centre,Employee Costs,54430
Sport & Leisure Management DSO,Todmorden Sports Centre,Employee Costs,568408
Sport & Leisure Management DSO,Todmorden Sports Centre,Premise Related,207260
Sport & Leisure Management DSO,Todmorden Sports Centre,Supplies and Services,53276
Sport & Leisure Management DSO,Todmorden Sports Centre,Support Service Recharges Expenditure,289750
Sport & Leisure Management DSO,Todmorden Sports Centre,Depreciation Charges and Revenue contribution to Capital,103040
Sport & Leisure Management DSO,Todmorden Sports Centre,"Grants, Contributions, Other Income ",-805151
Sport & Leisure Management DSO,North Bridge Leisure Centre,Employee Costs,51740
Sport & Leisure Management DSO,North Bridge Leisure Centre,Employee Costs,541889
Sport & Leisure Management DSO,North Bridge Leisure Centre,Premise Related,188995
Sport & Leisure Management DSO,North Bridge Leisure Centre,Supplies and Services,51841
Sport & Leisure Management DSO,North Bridge Leisure Centre,Support Service Recharges Expenditure,239820
Sport & Leisure Management DSO,North Bridge Leisure Centre,Depreciation Charges and Revenue contribution to Capital,629000
Sport & Leisure Management DSO,North Bridge Leisure Centre,"Grants, Contributions, Other Income ",-683180
Sport & Leisure Management DSO,Mixenden Activity Centre,Employee Costs,32810
Sport & Leisure Management DSO,Mixenden Activity Centre,Employee Costs,204151
Sport & Leisure Management DSO,Mixenden Activity Centre,Employee Related,-58270
Sport & Leisure Management DSO,Mixenden Activity Centre,Premise Related,16440
Sport & Leisure Management DSO,Mixenden Activity Centre,Transport Related,1300
Sport & Leisure Management DSO,Mixenden Activity Centre,Supplies and Services,30750
Sport & Leisure Management DSO,Mixenden Activity Centre,Support Service Recharges Expenditure,70350
Sport & Leisure Management DSO,Mixenden Activity Centre,"Grants, Contributions, Other Income ",-245665
Sport & Leisure Management DSO,Central Costs,Employee Costs,30440
Sport & Leisure Management DSO,Central Costs,Employee Costs,229304
Sport & Leisure Management DSO,Central Costs,Transport Related,1600
Sport & Leisure Management DSO,Central Costs,Supplies and Services,77936
Sport & Leisure Management DSO,Central Costs,Support Service Recharges Expenditure,760490
Sport & Leisure Management DSO,Central Costs,Support Service Recharges Income,-742840
Sport & Leisure Management DSO,Central Costs,"Grants, Contributions, Other Income ",-324930
Sport & Leisure Management DSO,Better Living Team,Employee Costs,-900
Sport & Leisure Management DSO,Better Living Team,Employee Costs,2210
Sport & Leisure Management DSO,Better Living Team,Support Service Recharges Expenditure,64280
Sport & Leisure Management DSO,Better Living Team,"Grants, Contributions, Other Income ",-2210
Sport & Leisure Management DSO,The Shay Stadium,Employee Costs,23960
Sport & Leisure Management DSO,The Shay Stadium,Employee Costs,197395
Sport & Leisure Management DSO,The Shay Stadium,Premise Related,133550
Sport & Leisure Management DSO,The Shay Stadium,Premise Related,28850
Sport & Leisure Management DSO,The Shay Stadium,Transport Related,100
Sport & Leisure Management DSO,The Shay Stadium,Transport Related,5010
Sport & Leisure Management DSO,The Shay Stadium,Supplies and Services,13140
Sport & Leisure Management DSO,The Shay Stadium,Support Service Recharges Expenditure,285290
Sport & Leisure Management DSO,The Shay Stadium,Depreciation Charges and Revenue contribution to Capital,941300
Sport & Leisure Management DSO,The Shay Stadium,"Grants, Contributions, Other Income ",-333060
Sport & Leisure Management DSO,Leisure in Action,Supplies and Services,-70
Sport & Leisure Management DSO,Leisure in Action,"Grants, Contributions, Other Income ",-4570
Environmental Services,Department Wide Costs,Support Service Recharges Expenditure,89240
Environmental Services,Pest Control Services (Trading A/C),Employee Costs,11730
Environmental Services,Pest Control Services (Trading A/C),Employee Costs,61710
Environmental Services,Pest Control Services (Trading A/C),Supplies and Services,2670
Environmental Services,Pest Control Services (Trading A/C),Support Service Recharges Expenditure,185610
Environmental Services,Pest Control Services (Trading A/C),"Grants, Contributions, Other Income ",-72890
Environmental Services,Waste Mgt - Refuse Contract Collection,Large Contract Areas,7017455
Environmental Services,Waste Mgt - Land Management,Employee Costs,5950
Environmental Services,Waste Mgt - Land Management,Employee Costs,26710
Environmental Services,Waste Mgt - Land Management,Premise Related,3120
Environmental Services,Waste Mgt - Land Management,Transport Related,560
Environmental Services,Waste Mgt - Land Management,Supplies and Services,47440
Environmental Services,Waste Mgt - Land Management,Depreciation Charges and Revenue contribution to Capital,2860
Environmental Services,Waste Mgt - Recycling,Employee Costs,3040
Environmental Services,Waste Mgt - Recycling,Employee Costs,29970
Environmental Services,Waste Mgt - Recycling,Transport Related,580
Environmental Services,Waste Mgt - Recycling,Supplies and Services,9800
Environmental Services,Waste Mgt - Recycling,Large Contract Areas,3170
Environmental Services,Waste Mgt - Recycling,Support Service Recharges Expenditure,26310
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Employee Costs,11840
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Employee Costs,72720
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Supplies and Services,150
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Large Contract Areas,-50000
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Support Service Recharges Expenditure,528600
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),Depreciation Charges and Revenue contribution to Capital,33790
Environmental Services,Waste Mgt - Collection (Monitoring/Admin/Mgt),"Grants, Contributions, Other Income ",-261440
Environmental Services,Waste Mgt - Client Disposal,Employee Costs,17070
Environmental Services,Waste Mgt - Client Disposal,Employee Costs,133645
Environmental Services,Waste Mgt - Client Disposal,Transport Related,740
Environmental Services,Waste Mgt - Client Disposal,Supplies and Services,130190
Environmental Services,Waste Mgt - Client Disposal,Large Contract Areas,4532280
Environmental Services,Waste Mgt - Client Disposal,Support Service Recharges Expenditure,4630
Environmental Services,Waste Awareness Team,Employee Costs,9690
Environmental Services,Waste Awareness Team,Employee Costs,121290
Environmental Services,Waste Awareness Team,Premise Related,500
Environmental Services,Waste Awareness Team,Transport Related,2590
Environmental Services,Waste Awareness Team,Supplies and Services,640
Environmental Services,Waste Awareness Team,Support Service Recharges Expenditure,150
Environmental Services,House Waste Recycling Sites,Supplies and Services,15000
Environmental Services,House Waste Recycling Sites,Depreciation Charges and Revenue contribution to Capital,13660
Insurance,Insurance,Employee Related,126109
Insurance,Insurance,Premise Related,194960
Insurance,Insurance,Transport Related,146600
Insurance,Insurance,Supplies and Services,1030386
Non Distributed Costs,Non Distributed Costs,Support Service Recharges Expenditure,269100
Medium Term Financial Strategy Control A/C,2007/08 onwards,Supplies and Services,678019
Medium Term Financial Strategy Control A/C,2007/08 onwards,"Grants, Contributions, Other Income ",40412
Medium Term Financial Strategy Control A/C,2012/13 onwards,Employee Costs,782090
Medium Term Financial Strategy Control A/C,2012/13 onwards,Supplies and Services,2577134
Medium Term Financial Strategy Control A/C,2012/13 onwards,Large Contract Areas,3962722
Medium Term Financial Strategy Control A/C,Covid 19 Contingencies,Supplies and Services,1000000
Medium Term Financial Strategy Control A/C,Covid 19 Contingencies,Large Contract Areas,500000
Medium Term Financial Strategy Control A/C,Covid 19 Contingencies,"Grants, Contributions, Other Income ",1900000
Early Retirement Equalisation Account,Holding Account,Employee Related,95560
,,,
,,,
,,,
,,,
